ID,Title,Status,Content_Length,Has_Content,Expected_Content,API_Endpoint,Content_Preview
6786,Acoya Shea,✅ Content Updated,265,Yes,Yes,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/6786,"At Acoya Shea, residents find a supportive environment that puts well-being first. Amenities include activity room, air conditioning, all day dining, offering convenience and ease. Designed to promote"
7136,Bridgewater Assisted Living,✅ Content Updated,234,Yes,Yes,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/7136,"BridgeWater Assisted Living creates a space where seniors can feel secure and cared for. Amenities include activity room, air conditioning, all day dining, offering convenience and ease. Here, communi"
7262,Chandler Post Acute And Rehabilitation,✅ Content Updated,304,Yes,Yes,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/7262,"Chandler Post Acute And Rehabilitation offers a peaceful setting where residents can enjoy day-to-day life comfortably. Amenities include accepted financial services, activity room, air conditioning, "
7408,Desert Jewel At Orange Tree,✅ Content Updated,285,Yes,Yes,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/7408,"Desert Jewel At Orange Tree is a welcoming place for older adults to feel at home. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering convenience and ease. F"
7680,Fellowship Square Historic Mesa,✅ Content Updated,290,Yes,Yes,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/7680,"Fellowship Square Historic Mesa is a thoughtfully designed residence focused on quality living for seniors. Amenities include activity room, air conditioning, all day dining, offering convenience and "
7736,Fountain View Village,✅ Content Updated,276,Yes,Yes,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/7736,"At Fountain View Village, residents find a supportive environment that puts well-being first. Amenities include activity room, air conditioning, all day dining, offering convenience and ease. Designed"
8036,Heaven Can Wait,✅ Content Updated,251,Yes,Yes,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/8036,"Heaven Can Wait is a welcoming place for older adults to feel at home. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering convenience and ease. It&#8217;s a "
8073,Heritage Village Assisted Living,✅ Content Updated,256,Yes,Yes,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/8073,"Heritage Village Assisted Living is a welcoming place for older adults to feel at home. Amenities include all day dining, allergy-sensitive, arts room, offering convenience and ease. Everything is cen"
8229,Inspirations Of Tempe,✅ Content Updated,274,Yes,Yes,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/8229,"Inspirations Of Tempe offers a peaceful setting where residents can enjoy day-to-day life comfortably. Amenities include activity room, air conditioning, all day dining, offering convenience and ease."
8419,Legacy House Of Avondale,✅ Content Updated,288,Yes,Yes,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/8419,"Legacy House of Avondale offers a peaceful setting where residents can enjoy day-to-day life comfortably. Amenities include activity room, air conditioning, all day dining, offering convenience and ea"
8780,Mountain View Carehome,✅ Content Updated,284,Yes,Yes,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/8780,"Mountain View Carehome offers a peaceful setting where residents can enjoy day-to-day life comfortably. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering co"
8871,Oakbrook Assisted Living,✅ Content Updated,285,Yes,Yes,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/8871,"At OakBrook Assisted Living, residents find a supportive environment that puts well-being first. Amenities include air conditioning, all day dining, allergy-sensitive, offering convenience and ease. F"
8998,Park Senior Villas At Goodyear,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/8998,
9280,Ridges At Peoria,✅ Content Updated,260,Yes,Yes,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/9280,"Ridges at Peoria creates a space where seniors can feel secure and cared for. Amenities include activity room, air conditioning, all day dining, offering convenience and ease. Designed to promote inde"
9788,Suntown Assistance Home,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/9788,
9894,The Heritage Tradition,✅ Content Updated,262,Yes,Yes,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/9894,"The Heritage Tradition is a welcoming place for older adults to feel at home. Amenities include activity room, air conditioning, all day dining, offering convenience and ease. From daily routines to s"
12659,Carillon At Belleview Station The,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/12659,
12705,Castle Rock Assisted Living At Eveningsong,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/12705,
13312,Greenwood Manor,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/13312,
13397,Heritage Home,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/13397,
13584,Kingston Residence Of Santa Fe,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/13584,
13749,Mackenzie Place Colorado Springs,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/13749,
13964,Northglenn Heights Assisted Living Community,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/13964,
14250,Rose Of Sharon,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/14250,
14456,Solstice Senior Living At Sandy,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/14456,
14676,The Albuquerque Grand Senior Living,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/14676,
14771,The Oberon House,⚪ No Content (Expected),0,No,No,https://aplaceforseniorscms.kinsta.cloud/wp-json/wp/v2/listing/14771,
